"id","name","hijri_date","gregorian_date"
"6c198dc1-5c8c-4975-8428-d6296dd4093f","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"582ea071-511f-4160-8369-a65a6ed4bd5e","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"ea0ba938-b428-4008-9d34-ee7bb71b82dc","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"62f27ec4-46ad-409b-95a3-351163739119","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"62749191-524a-409c-811c-f35dedffc84c","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"c85af824-ffc4-4935-8a40-f45aaf6c3e3e","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"c511f88a-1337-4b79-94e5-09a430516d8b","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"61713556-cfef-4377-8f2d-6548f2d2d2b1","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"9c5a7142-1bee-4448-a729-45f055d5f8cd","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"729f52d2-671d-45cd-a37c-887396f0de8d","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
"58bce2aa-e30b-426a-b7ac-56abcc96b8e3","Hari Asyura (10 Muharram)","10-01","2026-06-24T17:00:00.000Z"
"8d4849fe-55d5-4f4c-afee-2874fdb05558","Maulid Nabi Muhammad SAW (12 Rabiul Awal)","12-03","2026-08-24T17:00:00.000Z"
"3b9d1f01-d8ad-429e-b095-7228a67a7a8e","Isra Mikraj (27 Rajab)","27-07","2027-01-04T17:00:00.000Z"
"8e2e3bb2-ebbc-4297-8acb-4725486fb642","Nisfu Syaban (15 Syaban)","15-08","2027-01-22T17:00:00.000Z"
"3a7eb8e3-2bab-4e77-8a85-2e77da63451c","Awal Ramadan (1 Ramadan)","01-09","2027-02-07T17:00:00.000Z"
"f7246e20-ef72-418e-8d37-b5e0d1f138f2","Nuzulul Quran (17 Ramadan)","17-09","2027-02-23T17:00:00.000Z"
"21e42e4e-1623-40f2-81ff-56db77230d2d","Hari Raya Idul Fitri (1 Syawal)","01-10","2027-03-09T17:00:00.000Z"
"e5ec42ba-f876-4ab9-941a-7a68782dd482","Hari Raya Idul Adha (10 Zulhijah)","10-12","2027-05-16T17:00:00.000Z"
"f571ae6c-53ae-4e41-b17d-caaff8d28d28","Tahun Baru Hijriah (1 Muharram)","01-01","2026-06-15T17:00:00.000Z"
